person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,debt_to_income_ratio,loan_to_income_ratio,income_band,age_group,employment_stability,credit_history_category,flag_prior_default,flag_high_loan_burden,flag_low_income_high_grade_risk,flag_renter
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1042,N,2,0.0116,0.1042,<25k,18-25,Established(3-7y),New(<=2y),0,0,0,0
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.5729,N,3,0.0737,0.5729,<25k,18-25,Unstable(<1y),Building(2-5y),0,1,0,0
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.5344,N,2,0.0814,0.5344,50-75k,18-25,Established(3-7y),New(<=2y),0,1,0,1
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.6434,Y,4,0.0918,0.6434,50-75k,18-25,Stable(7y+),Building(2-5y),1,1,0,1
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.2525,N,2,0.018,0.2525,<25k,18-25,Early(1-3y),New(<=2y),0,0,0,0
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.454,N,3,0.0564,0.454,75-100k,26-35,Stable(7y+),Building(2-5y),0,1,0,1
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.4433,N,4,0.0492,0.4433,75-100k,18-25,Established(3-7y),Building(2-5y),0,1,0,1
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.4217,N,2,0.0375,0.4217,75-100k,18-25,Stable(7y+),New(<=2y),0,1,0,1
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.0236,0.16,<25k,18-25,Established(3-7y),Building(2-5y),0,0,1,0
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.4118,N,4,0.0427,0.4118,75-100k,18-25,Established(3-7y),Building(2-5y),0,1,0,1
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.0388,0.45,<25k,18-25,Early(1-3y),New(<=2y),0,1,0,0
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.3684,N,2,0.0291,0.3684,75-100k,18-25,Early(1-3y),New(<=2y),0,0,0,1
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.3236,N,4,0.0595,0.3236,100k+,26-35,Established(3-7y),Building(2-5y),0,0,0,1
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3043,N,4,0.024,0.3043,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,1
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.0064,0.06,100k+,18-25,Established(3-7y),Building(2-5y),0,0,0,0
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.2917,N,4,0.023,0.2917,100k+,18-25,Unstable(<1y),Building(2-5y),0,0,0,1
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.38,N,4,0.0769,0.38,75-100k,18-25,Established(3-7y),Building(2-5y),0,0,0,1
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.3097,N,4,0.0565,0.3097,100k+,18-25,Stable(7y+),Building(2-5y),0,0,0,1
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.162,N,2,0.0178,0.162,<25k,18-25,Stable(7y+),New(<=2y),0,0,0,0
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.2154,N,4,0.0161,0.2154,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,1
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.254,Y,2,0.0426,0.254,100k+,18-25,Stable(7y+),New(<=2y),1,0,0,1
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.5231,N,4,0.092,0.5231,50-75k,18-25,Established(3-7y),Building(2-5y),0,1,0,1
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.1366,N,3,0.01,0.1366,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.4244,Y,4,0.0617,0.4244,75-100k,18-25,Early(1-3y),Building(2-5y),1,1,0,1
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.4871,N,3,0.0618,0.4871,50-75k,18-25,Stable(7y+),Building(2-5y),0,1,0,1
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.4159,Y,3,0.0738,0.4159,<25k,18-25,Early(1-3y),Building(2-5y),1,1,1,0
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.1273,N,3,0.0119,0.1273,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.05,0.5,50-75k,18-25,Established(3-7y),Building(2-5y),0,1,0,1
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.3512,Y,2,0.0451,0.3512,<25k,18-25,Established(3-7y),New(<=2y),1,0,0,0
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.1736,N,3,0.0193,0.1736,<25k,18-25,Established(3-7y),Building(2-5y),0,0,0,0
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.2667,N,2,0.0177,0.2667,100k+,18-25,Early(1-3y),New(<=2y),0,0,0,1
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.3268,Y,3,0.0463,0.3268,75-100k,26-35,Established(3-7y),Building(2-5y),1,0,0,1
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.0792,N,3,0.011,0.0792,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,1
