person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,debt_to_income_ratio,loan_to_income_ratio,income_band,age_group,employment_stability,credit_history_category,flag_prior_default,flag_high_loan_burden,flag_low_income_high_grade_risk,flag_renter,default_probability,credit_risk_score,risk_tier
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1042,N,2,0.0116,0.1042,<25k,18-25,Established(3-7y),New(<=2y),0,0,0,0,0.043007261329046274,874,Very Low
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.5729,N,3,0.0737,0.5729,<25k,18-25,Unstable(<1y),Building(2-5y),0,1,0,0,0.9934158692068286,304,Very High
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.5344,N,2,0.0814,0.5344,50-75k,18-25,Established(3-7y),New(<=2y),0,1,0,1,0.8465549902213261,392,Very High
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.6434,Y,4,0.0918,0.6434,50-75k,18-25,Stable(7y+),Building(2-5y),1,1,0,1,0.9533976212763475,328,Very High
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.2525,N,2,0.018,0.2525,<25k,18-25,Early(1-3y),New(<=2y),0,0,0,0,0.11048108511210154,834,Very Low
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.454,N,3,0.0564,0.454,75-100k,26-35,Stable(7y+),Building(2-5y),0,1,0,1,0.5576581370121986,565,High
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.4433,N,4,0.0492,0.4433,75-100k,18-25,Established(3-7y),Building(2-5y),0,1,0,1,0.6462128306530175,512,High
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.4217,N,2,0.0375,0.4217,75-100k,18-25,Stable(7y+),New(<=2y),0,1,0,1,0.49283716386032034,604,Moderate
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.0236,0.16,<25k,18-25,Established(3-7y),Building(2-5y),0,0,1,0,0.466682168160015,620,Moderate
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.4118,N,4,0.0427,0.4118,75-100k,18-25,Established(3-7y),Building(2-5y),0,1,0,1,0.33976676004723017,696,Low
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.0388,0.45,<25k,18-25,Early(1-3y),New(<=2y),0,1,0,0,0.8967884545465374,362,Very High
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.3684,N,2,0.0291,0.3684,75-100k,18-25,Early(1-3y),New(<=2y),0,0,0,1,0.1733736138952504,796,Very Low
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.3236,N,4,0.0595,0.3236,100k+,26-35,Established(3-7y),Building(2-5y),0,0,0,1,0.7319302905729504,461,Very High
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3043,N,4,0.024,0.3043,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.10672270844633185,836,Very Low
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.0064,0.06,100k+,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.015661946004323062,891,Very Low
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.2917,N,4,0.023,0.2917,100k+,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.09027823548542221,846,Very Low
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.38,N,4,0.0769,0.38,75-100k,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.9155417470052057,351,Very High
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.3097,N,4,0.0565,0.3097,100k+,18-25,Stable(7y+),Building(2-5y),0,0,0,1,0.7787450295716165,433,Very High
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.162,N,2,0.0178,0.162,<25k,18-25,Stable(7y+),New(<=2y),0,0,0,0,0.3341970596364908,699,Low
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.2154,N,4,0.0161,0.2154,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.021506853112637447,887,Very Low
