feature,coefficient,direction
loan_percent_income,2.0108312013232768,Increases Default Risk
loan_amnt,-0.7221455164334915,Decreases Default Risk
debt_to_income_ratio,-0.6967392651938287,Decreases Default Risk
loan_grade_D,0.6530340975657899,Increases Default Risk
loan_int_rate,0.6521457506183166,Increases Default Risk
person_home_ownership_OWN,-0.46943362823738294,Decreases Default Risk
loan_grade_E,0.40053359929170435,Increases Default Risk
loan_intent_VENTURE,-0.4003816790721131,Decreases Default Risk
person_home_ownership_RENT,0.31335960466600776,Increases Default Risk
loan_intent_EDUCATION,-0.2739153612658934,Decreases Default Risk
loan_grade_G,0.26910112450916635,Increases Default Risk
loan_grade_F,0.2334116430516674,Increases Default Risk
loan_intent_PERSONAL,-0.1724787648254625,Decreases Default Risk
loan_grade_C,0.09709627531639864,Increases Default Risk
loan_intent_HOMEIMPROVEMENT,0.08574317733834698,Increases Default Risk
loan_intent_MEDICAL,-0.07842128369111148,Decreases Default Risk
person_income,0.057261306011070524,Increases Default Risk
loan_grade_B,0.04626674999858612,Increases Default Risk
flag_high_loan_burden,0.027781438655958276,Increases Default Risk
flag_low_income_high_grade_risk,0.02451729067473654,Increases Default Risk
person_age,-0.015171814227022283,Decreases Default Risk
person_home_ownership_OTHER,0.014203614223132422,Increases Default Risk
cb_person_default_on_file_Y,-0.010504657820985062,Decreases Default Risk
person_emp_length,0.005942729611014544,Increases Default Risk
cb_person_cred_hist_length,0.0005405786263885103,Increases Default Risk
